Team,TwoPointersAttempted,TwoPointersMade,ThreePointersAttempted,ThreePointersMade,FieldGoalsMade,FieldGoalsAttempted
ATL,6510.5,3371.2,4399.3,1547.2,4918.4,10909.8
BKN,6362.6,3265.4,4299.2,1518.2,4783.6,10661.8
BOS,6668.6,3510.4,4102,1496.4,5006.8,10770.6
CHA,6639.6,3364,4035.4,1416.6,4780.6,10674.9
CHI,7368.9,3655.4,3078.4,1080.2,4735.7,10447.2
CLE,6954.2,3395.9,3462.6,1228.2,4624,10416.8
DAL,5974,3132,4352.9,1481.9,4613.9,10326.9
DEN,6978.8,3677.2,3728,1309.4,4986.6,10706.8
DET,6355.4,3178.4,4139.8,1439.8,4618.2,10495.1
GS,6578.6,3661.2,4094.8,1576.2,5237.4,10673.4
HOU,4990.9,2747.8,5395.4,1918.4,4666.1,10386.4
IND,7328.3,3786,3017.4,1129.6,4915.5,10345.8
LAC,7337,3716.4,3071.1,1190.4,4906.8,10408.1
LAL,7081.8,3833.8,3684.4,1228.2,5062,10766.2
MEM,6606.2,3337.9,3433.6,1176,4513.8,10039.8
MIA,6612,3368.4,3854.1,1345.6,4714,10466.1
MIL,6288.6,3552.5,4544.3,1602.2,5154.8,10833
MIN,7432.7,3749.7,3417.6,1199.2,4948.8,10850.4
NO,7416.8,3971.6,3551,1220.9,5192.4,10967.8
NY,6989,3351,3510.4,1193.4,4544.3,10499.4
OKC,7292,3719.2,3881.6,1351.4,5070.6,11173.7
ORL,6777.3,3449.6,3817.8,1358.6,4808.2,10595.2
PHI,6900.6,3651.1,3587.3,1289,4940.2,10487.8
PHO,6907.8,3623.6,3480,1145.5,4769,10387.8
POR,7115.2,3720.7,3654,1310.8,5031.5,10769.2
SA,7508.1,3851.2,3003,1177.4,5028.6,10511
SAC,7513.9,3790.3,3559.8,1344.2,5134.4,11073.6
TOR,6574.3,3545.2,4018,1471.8,5017,10592.2
UTA,6224.8,3365.4,4044,1439.8,4805.3,10268.9
WAS,6751.2,3662.7,3960,1348.5,5011.2,10711.2
